id_chunk,sistem_organ,nama_bagian,sumber,aspek,level,panjang_kata,ada_angka,teks_bersih,teks_kb
C01,Sistem Peredaran Darah,Jantung,deskripsi_organ,deskripsi,dasar,26,0,"organ berotot seukuran kepalan tangan yang memompa darah ke seluruh tubuh, mengantar oksigen dan zat gizi ke setiap sel, lalu membawa pulang karbon dioksida untuk dibuang.","jantung (deskripsi). organ berotot seukuran kepalan tangan yang memompa darah ke seluruh tubuh, mengantar oksigen dan zat gizi ke setiap sel, lalu membawa pulang karbon dioksida untuk dibuang."
C02,Sistem Peredaran Darah,Jantung,fakta_organ,fakta,dasar,37,1,"ukuran: sebesar kepalan tangan pemiliknya. berat: 250 sampai 350 gram. denyut: sekitar 100.000 kali per hari. letak: di belakang tulang dada, condong ke kiri. suplai darah: arteri koroner kiri dan kanan. jumlah ruang: 4 ruang, 4 katup","jantung (fakta). ukuran: sebesar kepalan tangan pemiliknya. berat: 250 sampai 350 gram. denyut: sekitar 100.000 kali per hari. letak: di belakang tulang dada, condong ke kiri. suplai darah: arteri koroner kiri dan kanan. jumlah ruang: 4 ruang, 4 katup"
C03,Sistem Pernapasan,Paru-paru,deskripsi_organ,deskripsi,dasar,24,0,"sepasang organ berongga di rongga dada tempat udara yang dihirup bertukar gas dengan darah: oksigen masuk ke pembuluh kapiler, karbon dioksida dilepas untuk dihembuskan.","paru-paru (deskripsi). sepasang organ berongga di rongga dada tempat udara yang dihirup bertukar gas dengan darah: oksigen masuk ke pembuluh kapiler, karbon dioksida dilepas untuk dihembuskan."
C04,Sistem Pernapasan,Paru-paru,fakta_organ,fakta,dasar,39,1,"berat: sekitar 1,1 kg untuk sepasang. kapasitas: sekitar 6 liter udara. frekuensi: 12 sampai 20 napas per menit. letak: rongga dada, dilindungi tulang rusuk. lobus: 3 di paru kanan, 2 di paru kiri. luas alveolus: sekitar 70 meter persegi","paru-paru (fakta). berat: sekitar 1,1 kg untuk sepasang. kapasitas: sekitar 6 liter udara. frekuensi: 12 sampai 20 napas per menit. letak: rongga dada, dilindungi tulang rusuk. lobus: 3 di paru kanan, 2 di paru kiri. luas alveolus: sekitar 70 meter persegi"
C05,Sistem Peredaran Darah,Atrium Kanan,fakta_bagian,fakta,dasar,16,1,tebal dinding: sekitar 2 mm. menerima dari: vena cava superior dan inferior. mengalir ke: ventrikel kanan,atrium kanan (fakta). tebal dinding: sekitar 2 mm. menerima dari: vena cava superior dan inferior. mengalir ke: ventrikel kanan
C06,Sistem Peredaran Darah,Atrium Kiri,fakta_bagian,fakta,dasar,14,0,menerima dari: empat vena pulmonalis. mengalir ke: ventrikel kiri. posisi: ruang jantung paling belakang,atrium kiri (fakta). menerima dari: empat vena pulmonalis. mengalir ke: ventrikel kiri. posisi: ruang jantung paling belakang
C07,Sistem Peredaran Darah,Ventrikel Kanan,fakta_bagian,fakta,dasar,16,1,tebal dinding: 3 sampai 5 mm. memompa ke: paru-paru lewat arteri pulmonalis. tekanan: sekitar 25 mmhg,ventrikel kanan (fakta). tebal dinding: 3 sampai 5 mm. memompa ke: paru-paru lewat arteri pulmonalis. tekanan: sekitar 25 mmhg
C08,Sistem Peredaran Darah,Ventrikel Kiri,fakta_bagian,fakta,dasar,16,1,tebal dinding: 8 sampai 15 mm. memompa ke: seluruh tubuh lewat aorta. tekanan: sekitar 120 mmhg,ventrikel kiri (fakta). tebal dinding: 8 sampai 15 mm. memompa ke: seluruh tubuh lewat aorta. tekanan: sekitar 120 mmhg
C09,Sistem Peredaran Darah,Aorta,fakta_bagian,fakta,dasar,16,1,"diameter: 2,5 sampai 3,5 cm. jenis: arteri terbesar dalam tubuh. bagian: aorta asenden, arkus, aorta desenden","aorta (fakta). diameter: 2,5 sampai 3,5 cm. jenis: arteri terbesar dalam tubuh. bagian: aorta asenden, arkus, aorta desenden"
C10,Sistem Peredaran Darah,Katup Mitral,fakta_bagian,fakta,dasar,18,1,jumlah daun: 2 daun katup bikuspidalis. letak: antara atrium kiri dan ventrikel kiri. menutup saat: ventrikel berkontraksi sistol,katup mitral (fakta). jumlah daun: 2 daun katup bikuspidalis. letak: antara atrium kiri dan ventrikel kiri. menutup saat: ventrikel berkontraksi sistol
