id_chunk,sumber,id_organ,id_bagian,nama_bagian,jenis_konten,aspek,status_validasi,judul,teks
C01,deskripsi_organ,1,,Jantung,dasar,deskripsi,tervalidasi,Jantung,"Organ berotot seukuran kepalan tangan yang memompa darah ke seluruh tubuh, mengantar oksigen dan zat gizi ke setiap sel, lalu membawa pulang karbon dioksida untuk dibuang."
C02,fakta_organ,1,,Jantung,fakta,fakta,tervalidasi,Fakta Jantung,"Ukuran: Sebesar kepalan tangan pemiliknya; Berat: 250 sampai 350 gram; Denyut: Sekitar 100.000 kali per hari; Letak: Di belakang tulang dada, condong ke kiri; Suplai darah: Arteri koroner kiri dan kanan; Jumlah ruang: 4 ruang, 4 katup"
C03,deskripsi_organ,2,,Paru-paru,dasar,deskripsi,tervalidasi,Paru-paru,"Sepasang organ berongga di rongga dada tempat udara yang dihirup bertukar gas dengan darah: oksigen masuk ke pembuluh kapiler, karbon dioksida dilepas untuk dihembuskan."
C04,fakta_organ,2,,Paru-paru,fakta,fakta,tervalidasi,Fakta Paru-paru,"Berat: Sekitar 1,1 kg untuk sepasang; Kapasitas: Sekitar 6 liter udara; Frekuensi: 12 sampai 20 napas per menit; Letak: Rongga dada, dilindungi tulang rusuk; Lobus: 3 di paru kanan, 2 di paru kiri; Luas alveolus: Sekitar 70 meter persegi"
C05,fakta_bagian,1,1,Atrium Kanan,fakta,fakta,tervalidasi,Fakta Atrium Kanan,Tebal dinding: Sekitar 2 mm; Menerima dari: Vena cava superior dan inferior; Mengalir ke: Ventrikel kanan
C06,fakta_bagian,1,2,Atrium Kiri,fakta,fakta,tervalidasi,Fakta Atrium Kiri,Menerima dari: Empat vena pulmonalis; Mengalir ke: Ventrikel kiri; Posisi: Ruang jantung paling belakang
C07,fakta_bagian,1,3,Ventrikel Kanan,fakta,fakta,tervalidasi,Fakta Ventrikel Kanan,Tebal dinding: 3 sampai 5 mm; Memompa ke: Paru-paru lewat arteri pulmonalis; Tekanan: Sekitar 25 mmHg
C08,fakta_bagian,1,4,Ventrikel Kiri,fakta,fakta,tervalidasi,Fakta Ventrikel Kiri,Tebal dinding: 8 sampai 15 mm; Memompa ke: Seluruh tubuh lewat aorta; Tekanan: Sekitar 120 mmHg
C09,fakta_bagian,1,5,Aorta,fakta,fakta,tervalidasi,Fakta Aorta,"Diameter: 2,5 sampai 3,5 cm; Jenis: Arteri terbesar dalam tubuh; Bagian: Aorta asenden, arkus, aorta desenden"
C10,fakta_bagian,1,6,Katup Mitral,fakta,fakta,tervalidasi,Fakta Katup Mitral,Jumlah daun: 2 daun katup (bikuspidalis); Letak: Antara atrium kiri dan ventrikel kiri; Menutup saat: Ventrikel berkontraksi (sistol)
C11,fakta_bagian,2,7,Trakea,fakta,fakta,tervalidasi,Fakta Trakea,Panjang: 10 sampai 12 cm; Penguat: 16 sampai 20 cincin tulang rawan; Bermula dari: Laring (kotak suara)
C12,fakta_bagian,2,8,Bronkus Utama,fakta,fakta,tervalidasi,Fakta Bronkus Utama,"Titik cabang: Karina, di ujung bawah trakea; Jumlah: 2 bronkus: kanan dan kiri; Bercabang menjadi: Bronkiolus yang makin halus"
C13,fakta_bagian,2,9,Paru-paru Kanan,fakta,fakta,tervalidasi,Fakta Paru-paru Kanan,"Jumlah lobus: 3 (atas, tengah, bawah); Ukuran: Lebih besar dari paru kiri; Pembungkus: Dua lapis pleura"
C14,fakta_bagian,2,10,Paru-paru Kiri,fakta,fakta,tervalidasi,Fakta Paru-paru Kiri,"Jumlah lobus: 2 (atas dan bawah); Ciri khas: Lekukan jantung (cardiac notch); Ukuran: Lebih kecil, memberi ruang jantung"
C15,fakta_bagian,2,11,Lobus Bawah Paru Kanan,fakta,fakta,tervalidasi,Fakta Lobus Bawah Paru Kanan,Posisi: Bagian paling bawah paru kanan; Pembatas: Fisura oblik dari lobus tengah; Menempel pada: Diafragma
C16,fakta_bagian,2,12,Alveolus,fakta,fakta,tervalidasi,Fakta Alveolus,Jumlah: 300 sampai 500 juta; Tebal dinding: Setebal satu sel; Fungsi: Tempat pertukaran O2 dan CO2
C17,konten_label,1,1,Atrium Kanan,dasar,penjelasan,tervalidasi,Atrium Kanan,"Ruang jantung kanan atas yang menerima darah miskin oksigen dari seluruh tubuh melalui vena cava superior dan vena cava inferior, lalu mengalirkannya ke ventrikel kanan."
C18,konten_label,1,1,Atrium Kanan,dimmed,penjelasan,tervalidasi,Nodus SA & dinding atrium,"Dinding atrium kanan hanya setebal ± 2 mm karena cukup mendorong darah sejauh satu ruang. Di dindingnya terdapat nodus sinoatrial (SA node), pemacu alami jantung yang memicu 60–100 denyut per menit tanpa perintah dari otak."
C19,konten_label,1,2,Atrium Kiri,dasar,penjelasan,tervalidasi,Atrium Kiri,"Ruang jantung kiri atas yang menerima darah kaya oksigen dari paru-paru melalui empat vena pulmonalis, kemudian meneruskannya ke ventrikel kiri lewat katup mitral."
C20,konten_label,1,2,Atrium Kiri,dimmed,penjelasan,draft,Posisi paling belakang,"Atrium kiri adalah ruang jantung yang letaknya paling belakang, tepat di depan kerongkongan (esofagus). Karena itu pembesaran atrium kiri kadang terlihat menekan esofagus pada pemeriksaan pencitraan."
C21,konten_label,1,3,Ventrikel Kanan,dasar,penjelasan,tervalidasi,Ventrikel Kanan,Ruang pompa kanan bawah yang mendorong darah miskin oksigen menuju paru-paru melalui arteri pulmonalis untuk mengambil oksigen (peredaran darah kecil).
C22,konten_label,1,4,Ventrikel Kiri,dasar,penjelasan,tervalidasi,Ventrikel Kiri,Ruang pompa kiri bawah yang memompa darah kaya oksigen ke seluruh tubuh melalui aorta. Dindingnya paling tebal di antara empat ruang jantung (peredaran darah besar).
C23,konten_label,1,4,Ventrikel Kiri,dimmed,penjelasan,tervalidasi,Mengapa dindingnya paling tebal?,"Tebal dinding ventrikel kiri 8–15 mm, kira-kira tiga kali ventrikel kanan. Sebabnya, ia harus melawan tekanan sistemik sekitar 120 mmHg untuk mengedarkan darah sampai ujung jari kaki, sementara ventrikel kanan hanya melawan ± 25 mmHg menuju paru-paru."
C24,konten_label,1,5,Aorta,dasar,penjelasan,tervalidasi,Aorta,"Pembuluh arteri terbesar dalam tubuh. Aorta membawa darah kaya oksigen keluar dari ventrikel kiri, melengkung membentuk arkus aorta, lalu bercabang ke kepala, lengan, dan seluruh tubuh bagian bawah."
C25,konten_label,1,5,Aorta,dimmed,penjelasan,tervalidasi,Dinding elastis (efek Windkessel),"Diameter aorta orang dewasa sekitar 2,5–3,5 cm. Dindingnya kaya serat elastin sehingga meregang saat jantung memompa (sistol) dan memantul balik saat jantung mengisi (diastol). Pantulan inilah yang membuat aliran darah tetap mengalir walau jantung sedang tidak berkontraksi."
C26,konten_label,1,6,Katup Mitral,dasar,penjelasan,draft,Katup Mitral,"Katup berdaun dua (bikuspidalis) di antara atrium kiri dan ventrikel kiri. Katup ini menutup saat ventrikel berkontraksi sehingga darah tidak kembali ke atrium — bunyi penutupannya menjadi bagian dari suara ""lub"" jantung."
C27,konten_label,2,7,Trakea,dasar,penjelasan,tervalidasi,Trakea,Saluran udara utama berbentuk tabung sepanjang 10–12 cm dari laring ke rongga dada. Dindingnya diperkuat cincin tulang rawan agar tidak kempis saat kita menarik napas.
C28,konten_label,2,7,Trakea,dimmed,penjelasan,tervalidasi,Cincin berbentuk C dan sapu silia,"Cincin tulang rawan trakea berbentuk huruf C dengan sisi belakang terbuka yang berhadapan dengan kerongkongan, sehingga kerongkongan leluasa melebar saat menelan. Lapisan dalam trakea dipenuhi sel bersilia yang terus menyapu lendir beserta debu ke atas menuju tenggorokan untuk ditelan atau dibatukkan."
C29,konten_label,2,8,Bronkus Utama,dasar,penjelasan,tervalidasi,Bronkus Utama,Percabangan trakea menjadi bronkus kanan dan bronkus kiri pada titik yang disebut karina. Masing-masing masuk ke paru-paru dan bercabang lagi berkali-kali menjadi bronkiolus yang semakin halus.
C30,konten_label,2,8,Bronkus Utama,dimmed,penjelasan,draft,Mengapa benda asing sering nyangkut di kanan?,"Bronkus kanan lebih lebar, lebih pendek, dan posisinya lebih tegak daripada bronkus kiri. Karena itu benda asing yang tidak sengaja terhirup lebih sering masuk ke paru-paru kanan. Fakta ini penting bagi dokter saat mencari benda yang tersedak."
C31,konten_label,2,9,Paru-paru Kanan,dasar,penjelasan,tervalidasi,Paru-paru Kanan,"Paru-paru kanan terdiri dari tiga lobus: atas, tengah, dan bawah. Ukurannya sedikit lebih besar dan lebih pendek daripada paru-paru kiri karena hati mendesak diafragma di sisi kanan."
C32,konten_label,2,9,Paru-paru Kanan,dimmed,penjelasan,tervalidasi,"Pleura, selaput licin pembungkus paru","Setiap paru dibungkus dua lapis selaput pleura dengan lapisan cairan sangat tipis di antaranya. Cairan ini membuat paru bisa mengembang dan mengempis ribuan kali sehari tanpa bergesekan dengan dinding dada. Bila ruang ini terisi udara, paru bisa mengempis (pneumotoraks)."
C33,konten_label,2,10,Paru-paru Kiri,dasar,penjelasan,tervalidasi,Paru-paru Kiri,"Paru-paru kiri hanya memiliki dua lobus, atas dan bawah. Di sisi dalamnya terdapat lekukan (cardiac notch) yang memberi ruang bagi jantung, sehingga paru kiri lebih kecil daripada paru kanan."
C34,konten_label,2,11,Lobus Bawah Paru Kanan,dasar,penjelasan,tervalidasi,Lobus Bawah Paru Kanan,"Lobus terbesar pada paru-paru kanan, dipisahkan dari lobus tengah oleh fisura oblik. Bagian bawahnya duduk di atas diafragma, otot lebar yang bergerak turun saat kita menarik napas."
C35,konten_label,2,12,Alveolus,dasar,penjelasan,tervalidasi,Alveolus,"Kantong udara mikroskopis berbentuk seperti buah anggur di ujung bronkiolus. Di dindingnya yang sangat tipis, oksigen berpindah ke darah kapiler dan karbon dioksida keluar untuk dihembuskan."
C36,konten_label,2,12,Alveolus,dimmed,penjelasan,tervalidasi,Seluas lapangan tenis,"Jumlah alveolus orang dewasa sekitar 300–500 juta, dengan luas permukaan total ± 70 meter persegi, hampir seluas lapangan tenis. Luas yang besar itulah yang memungkinkan pertukaran gas berlangsung cepat dalam sekali tarikan napas."
C37,pengetahuan_asisten,1,1,Atrium Kanan,asisten,fungsi,tervalidasi,Atrium Kanan (fungsi),"Atrium kanan bertugas menampung darah kotor yang pulang dari seluruh tubuh, lalu meneruskannya ke ventrikel kanan."
C38,pengetahuan_asisten,1,1,Atrium Kanan,asisten,letak,tervalidasi,Atrium Kanan (letak),"Letaknya di bagian kanan atas jantung, persis di ujung masuknya vena cava superior dan inferior."
C39,pengetahuan_asisten,1,1,Atrium Kanan,asisten,gangguan,tervalidasi,Atrium Kanan (gangguan),"Gangguan yang sering dibahas adalah aritmia, karena nodus SA (pemacu jantung) berada di dinding atrium kanan."
C40,pengetahuan_asisten,1,1,Atrium Kanan,asisten,ringkas,tervalidasi,Atrium Kanan (ringkas),"Anggap atrium kanan sebagai ""ruang tunggu"" darah kotor sebelum dipompa ke paru-paru."
C41,pengetahuan_asisten,1,2,Atrium Kiri,asisten,fungsi,tervalidasi,Atrium Kiri (fungsi),Atrium kiri menerima darah bersih dari paru-paru dan meneruskannya ke ventrikel kiri.
C42,pengetahuan_asisten,1,2,Atrium Kiri,asisten,letak,tervalidasi,Atrium Kiri (letak),Berada di kiri atas jantung dan merupakan ruang jantung yang posisinya paling belakang.
C43,pengetahuan_asisten,1,2,Atrium Kiri,asisten,gangguan,tervalidasi,Atrium Kiri (gangguan),"Pada penyakit katup mitral, atrium kiri bisa membesar karena darah tertahan di dalamnya."
C44,pengetahuan_asisten,1,2,Atrium Kiri,asisten,ringkas,tervalidasi,Atrium Kiri (ringkas),"Atrium kiri adalah pintu masuk darah kaya oksigen yang baru selesai ""diisi ulang"" di paru-paru."
C45,pengetahuan_asisten,1,3,Ventrikel Kanan,asisten,fungsi,tervalidasi,Ventrikel Kanan (fungsi),Ventrikel kanan memompa darah miskin oksigen ke paru-paru melalui arteri pulmonalis.
C46,pengetahuan_asisten,1,3,Ventrikel Kanan,asisten,letak,tervalidasi,Ventrikel Kanan (letak),"Menempati bagian depan-bawah jantung, tepat di belakang tulang dada."
C47,pengetahuan_asisten,1,3,Ventrikel Kanan,asisten,gangguan,tervalidasi,Ventrikel Kanan (gangguan),"Kalau tekanan di paru-paru tinggi, ventrikel kanan bisa menebal dan melemah."
C48,pengetahuan_asisten,1,3,Ventrikel Kanan,asisten,ringkas,tervalidasi,Ventrikel Kanan (ringkas),Ventrikel kanan adalah pompa jarak dekat: tujuannya hanya sampai paru-paru.
C49,pengetahuan_asisten,1,4,Ventrikel Kiri,asisten,fungsi,tervalidasi,Ventrikel Kiri (fungsi),Ventrikel kiri memompa darah kaya oksigen ke seluruh tubuh lewat aorta.
C50,pengetahuan_asisten,1,4,Ventrikel Kiri,asisten,letak,tervalidasi,Ventrikel Kiri (letak),Berada di kiri bawah jantung dan membentuk ujung runcing jantung (apeks).
